NK_BABKnoten,NK_Name,NK_Knotenpunktfunktion,NK_GeoStrKls,lon,lat,Autobahn_only,Autobahn_all,Bundesstrasse_all,Rest_all
N,"B 80, B 3", ,-B----,9.642069543336094,51.42262133980245,0,0,1,0
N,"B 80, B 3", ,-B----,9.645659626620951,51.42426027957845,0,0,1,0
N,(HE/NI),Landesgrenze,-B----,9.631775689849949,51.40382338644757,0,0,1,0
N,"B 3, L 561", ,-BL---,9.645329430513415,51.42636743256655,0,0,1,0
N,"B 496, K 226", ,-B----,9.650488354801475,51.411482268652996,0,0,1,0
N,(HE/NI),Landesgrenze,-B----,9.610687815021636,51.405818083986766,0,0,1,0
N, , ,-B----,9.601315767240557,51.496547863676795,0,0,1,0
N, , ,-BL---,9.580292993483079,51.40299494458657,0,0,1,0
N,"B 80, K 210", ,-B----,9.709175997786648,51.409302950051355,0,0,1,0
N,"B 80, K 217", ,-B----,9.670220874022311,51.417843391192214,0,0,1,0
N,"B 3, K 204", ,-B----,9.705126989727537,51.45122936072209,0,0,1,0
J,(NI/HE),Landesgrenze,A-----,9.824207193243328,51.409268050426974,1,0,0,0
N,B 3, ,-B----,9.715664422441547,51.45886304926076,0,0,1,0
N,"B 3, K 203,  KVP", ,-B----,9.722248548217243,51.46266169095553,0,0,1,0
N,"B 3, K 202", ,-B----,9.722907125125715,51.482969412007684,0,0,1,0
J,(HE/NI),Landesgrenze,A-----,9.794676762619295,51.399891522453224,1,0,0,0
N,"B 80, K 226", ,-B----,9.718520692830905,51.403064340256385,0,0,1,0
J,Deiderode,Anschlussstelle,A-----,9.883016996111348,51.43526394284495,1,0,0,0
J,Dramfeld,Anschlussstelle,A-L---,9.871188999517067,51.44880994775399,0,1,0,0
J,Dreieck Drammetal,Autobahndreieck,A-----,9.864450446388272,51.45305180332853,1,0,0,0
J,Rosdorf,Anschlussstelle,A-L---,9.876881453819859,51.49122511497024,0,1,0,0
N, , ,-BL---,9.902168710142815,51.40750074854219,0,0,1,0
J,Friedland,Anschlussstelle,AB----,9.908227863870342,51.40941348661721,0,1,1,0
J,(HE/NI),Landesgrenze,A-----,9.909117534359675,51.408550089774636,1,0,0,0
J,(NI/HE),Landesgrenze,A-----,9.902165492349642,51.41924058158026,1,0,0,0
N, , ,-B----,9.906082988211962,51.40927416467991,0,0,1,0
J,(NI/TH),Landesgrenze,A-----,10.00138300693672,51.4050071857064,1,0,0,0
N,(TH/NI),Landesgrenze,-B----,10.262544162183726,51.485803544671725,0,0,1,0
N,Abzweig B 247/L 2017, ,-BL---,10.300386874761879,51.46109229102543,0,0,1,0
N,Abzweig B 247/L 1009, ,-BL---,10.265692115947656,51.47207745224487,0,0,1,0
J,Breitenworbis,Anschlussstelle,A-L---,10.434197501513136,51.40258834696767,0,1,0,0
N,Abzweig B247/K 242, ,-B----,10.355699000474115,51.41204999852213,0,0,1,0
N,Abzweig B247/L3080, ,-BL---,10.355534999298598,51.41980799673034,0,0,1,0
J,Bleicherode,Anschlussstelle,A-L---,10.599097312278943,51.43212791091355,0,1,0,0
N,Abzweig B4/L3080/L1038, ,-BL---,10.801452541295534,51.49560505960244,0,0,1,0
N,Abzweig B 4/L 2083, ,-BL---,10.7876958448898,51.43760522429969,0,0,1,0
N,Abzweig B 4/K 27, ,-B----,10.80982483105075,51.4737464902853,0,0,1,0
N,Nordhausen, ,-BL---,10.78922493596053,51.49818380118372,0,0,1,0
J,Großwechsungen,Anschlussstelle,AB----,10.718220340899254,51.48926833130451,0,1,1,0
N,Abzweig B 4/K 150 L, ,-B----,10.809248544489906,51.40672374363817,0,0,1,0
J,Nordhausen-West,Anschlussstelle,A-L---,10.748730504918846,51.48752564823135,0,1,0,0
N,Nordhausen, ,-B----,10.801544354463761,51.494002223344225,0,0,1,0
J,Nordhausen,Anschlussstelle,AB----,10.79852016930746,51.4622568621962,0,1,1,0
J,(TH/ST),Landesgrenze,A-----,10.963322398437292,51.46739698676118,1,0,0,0
J,Heringen,Anschlussstelle,A-L---,10.875994901662999,51.47619974496532,0,1,0,0
N,B 085 / L 234 / Kelbra, ,-BL---,11.043059604192036,51.435847633077216,0,0,1,0
N,(ST/TH),Landesgrenze,-B----,11.050551997662893,51.42820594953499,0,0,1,0
N,B 085 / K 2829, ,-B----,11.024577647384534,51.44393751734357,0,0,1,0
N,Abzweig B 85/K532, ,-B----,11.07820436442773,51.416834642679774,0,0,1,0
N,L 151 / B 085 / L 236 / Berga, ,-BL---,11.007905056108696,51.45668161579352,0,0,1,0
J,Roßla,Anschlussstelle,A-L---,11.096019848398534,51.46997808576366,0,1,0,0
J,Berga,Anschlussstelle,AB----,11.024729169158121,51.46409279266058,0,1,1,0
N,B 85 / L 151 / Anbindung AS Berga, ,-BL---,11.024141347830387,51.46143225580531,0,0,1,0
J,(TH/ST),Landesgrenze,A-----,11.310331928147408,51.40645854937902,1,0,0,0
N,B 086 / K 2310, ,-B----,11.328688404825733,51.469267647770586,0,0,1,0
J,Sangerhausen-West,Anschlussstelle,A-L---,11.260885674791917,51.44850716689744,0,1,0,0
J,Sangerhausen-Süd,Anschlussstelle,ABL---,11.304281963527119,51.451727604424356,0,1,1,0
J,Allstedt,Anschlussstelle,A-L---,11.392459382906983,51.429136534210954,0,1,0,0
J,Dreieck Südharz,Autobahndreieck,A-----,11.333281494700547,51.44089803193728,1,0,0,0
N,L 151 / L 223 / Riestedt, ,-BL---,11.367192369110453,51.486601638149956,0,0,1,0
N,L 151 / B 86 / Riestedt, ,-BL---,11.380593902239317,51.49764639678904,0,0,1,0
N,UE der B 086 / L 151, ,-BL---,11.334099097111682,51.48101274649732,0,0,1,0
N,B 080 / L 164, ,-BL---,11.628663806025603,51.49835159975522,0,0,1,0
N,B 180 / K 2316, ,-B----,11.54732880778779,51.46801334815169,0,0,1,0
N,B 180 / L 223 / Rothenschirmbach, ,-BL---,11.53815831376917,51.4502487819923,0,0,1,0
N,B 180 / K 2269 / Farnstädt, ,-B----,11.568695580427422,51.42590299693196,0,0,1,0
N,B 180 / K 2272, ,-B----,11.587206849455454,51.40309609592689,0,0,1,0
N,B 180 / K 2271, ,-B----,11.567584569314537,51.41954101703633,0,0,1,0
J,Eisleben,Anschlussstelle,AB----,11.543862451155059,51.44372866037978,0,1,1,0
J,Querfurt,Anschlussstelle,A-L---,11.649096223650464,51.41889196317146,0,1,0,0
N,B 080 / L 176, ,-BL---,11.675079043858254,51.487550547028185,0,0,1,0
N,B 080 / L 174, ,-BL---,11.780132826879173,51.47826807896876,0,0,1,0
N,B 080 / L 173, ,-BL---,11.823697718859403,51.47676931580927,0,0,1,0
N,B 080 / K 2149, ,-B----,11.748361853174757,51.47201339495691,0,0,1,0
N,B 080 / K 087 2317, ,-B----,11.70272625501768,51.48396891432659,0,0,1,0
N,B 080 / K 087 2317, ,-B----,11.690116445495846,51.486122900518204,0,0,1,0
J,Schafstädt,Anschlussstelle,A-L---,11.769688278315925,51.40104588444017,0,1,0,0
N,B 6 / B 100 / L 50 / Getrennt verlaufende FB, ,-BL---,11.980279161520894,51.49844711400323,0,0,1,0
J,Dreieck Halle-Süd,Autobahndreieck,A-----,11.856818713485064,51.40396670893878,1,0,0,0
N,B 91 / L 170 / Halle Ammendorf Regensburger Straße, ,-B----,11.985327240196916,51.42489717562266,0,0,1,0
N,B 6 / B 80 / L 164 / Halle Riebeckplatz, ,-B----,11.983503001633599,51.47904162262107,0,0,1,0
N,B 6 / B 91 / Halle Rudolf Ernst Weise, ,-B----,11.983615518958029,51.47543309914173,0,0,1,0
J,Holleben,Anschlussstelle,A-----,11.864306212852869,51.426621067011034,1,0,0,0
N,B 080 / K 2147 / Friedhof Halle - Neustadt, ,-B----,11.884760228462564,51.4794134415959,0,0,1,0
N,B 080 / L 164 / Halle-Neustadt, ,-BL---,11.900366345714362,51.47354156705514,0,0,1,0
N,B 080 / L 159 / Halle, ,-BL---,11.950575146430491,51.48084617475765,0,0,1,0
N,Getrennt verlaufende FB B 080 / L 163 / SM-Gr., ,-BL---,11.91828285042061,51.466075624292564,0,0,1,0
N,B 080 / Stadt Halle, ,-B----,11.975330059679353,51.47859181723093,0,0,1,0
N,B 91 / E Seitenarm auf der B 6 / Halle Karl Meseberg Straße, ,-B----,11.983718535042568,51.469855110028135,0,0,1,0
N,Getrennt verlaufende FB, ,-B----,11.87091072059665,51.48237839969086,0,0,1,0
N,B 6 / Halle Paracelsusstraße / Getrennt verlaufende FB, ,-B----,11.982774337964075,51.49012916285044,0,0,1,0
N,B 080 / Kreisgrenze, ,-B----,11.865633846342398,51.48291952430145,0,0,1,0
N,B 6 / Halle Am Wasserturm / Fiktiver Knoten, ,-B----,11.981276267667699,51.49154917781737,0,0,1,0
N, B 91 / OD-Grenze zur Stadt Halle, ,-B----,11.984367252572286,51.42359013211444,0,0,1,0
J,Teutschenthal,Anschlussstelle,A-L---,11.86290150446743,51.4516855856911,0,1,0,0
J,Halle-Neustadt,Anschlussstelle,AB----,11.844511931694592,51.48093006263926,0,1,1,0
N,b 6 / A Seitenarm der B6 / Halle Rudolf Ernst Weise, ,-B----,11.989206595058167,51.472868211169846,0,0,1,0
N,"OD-Grenze zur Stadt Halle, B 80", ,-B----,11.944928493576757,51.478912581603616,0,0,1,0
N,"Äste zur Feuerwache, B 80", ,-B----,11.938421132011054,51.47332511822964,0,0,1,0
N,B 6 / B 91 / Halle Pfännerhöhe, ,-B----,11.983680614414071,51.47233317906806,0,0,1,0
N,b 6 / Seitenarm der B 6 / Halle Karl Meseberg Straße, ,-B----,11.979550629328003,51.46969409357827,0,0,1,0
J,Halle-Ost,Behelfsanschlussstelle,A-L---,12.07740403118835,51.478460176847605,0,1,0,0
N,B 6 / K 2145 / Bruckdorf Alte Schmiede Kanena, ,-B----,12.009892002024543,51.45868794296943,0,0,1,0
N,B 6 / L 168 / Gröbers Lange Straße, ,-BL---,12.1164374275671,51.42884603705258,0,0,1,0
N,B 6 / K 2146 / Großkugel Gröberische Straße, ,-B----,12.14260539884908,51.41629983776561,0,0,1,0
N,B 6 / K 2146 / Großkugel Weßmar /  SM-Gr., ,-B----,12.146212443167615,51.41456153526085,0,0,1,0
J,Gröbers,Behelfsanschlussstelle,A-L---,12.143911086974121,51.44027357924836,0,1,0,0
N,B 6 / L 167 / Zwintschöna Dieskauer Straße, ,-BL---,12.043784959453497,51.44220139585271,0,0,1,0
J,(ST/SN),Landesgrenze,A-----,12.15750185991587,51.43498536766398,1,0,0,0
J,(ST/SN),Landesgrenze,A-----,12.184595837857954,51.4303331354444,1,0,0,0
J,(SN/ST),Landesgrenze,A-----,12.17063405182467,51.432584248086854,1,0,0,0
J,(ST/SN),Landesgrenze,A-----,12.205148378112055,51.49171587243476,1,0,0,0
N,(SN/ST),Landesgrenze,-B----,12.178011650198647,51.40086067083263,0,0,1,0
J,Schkeuditzer Kreuz,Autobahnkreuz,A-----,12.198334715429823,51.428236780478244,1,0,0,0
J,Wiedemar,Behelfsanschlussstelle,A-S---,12.216600308084653,51.46514240486395,0,1,0,0
J,Leipzig-Nord,Anschlussstelle,A-S---,12.310860469838087,51.41516011811319,0,1,0,0
J,Schkeuditz,Anschlussstelle,A-S---,12.257847462728037,51.41961496311998,0,1,0,0
N, , ,-BS---,12.241818793701071,51.403827593517455,0,0,1,0
N,B 6 / B 186 / Schkeuditz Bierweg, ,-B----,12.19210399649901,51.40052921464045,0,0,1,0
N, , ,-BS---,12.204865295149242,51.40286327528699,0,0,1,0
J,Großkugel,Behelfsanschlussstelle,AB----,12.182089415614223,51.400054697506164,0,1,1,0
N, , ,-B----,12.252738644300766,51.40337695905848,0,0,1,0
N,Leipzig, ,-B----,12.389128409548418,51.39959302794358,0,0,1,0
